breed,description
russian tsvetnaya bolonka,russian tsvetnaya bolonka bolonka short member bichon family almost extinct cold war small companion dog hypoallergenic funny clever beyond words intensely loyal family excellent mimics others content sit door monitor allowed spirited yet easygoing sociable russian tsvetnaya bolonka great children although quick alert constant barker early training appropriate behavior fairly independent toy breed require early socialization people however bolonki get along well dogs animals clever smart well formal training obedience rally tracking agility trained firm gentle hand russkaya tsvetnaya bolonka translates russian colored lapdog bolonki originally bred ultimate house pet apartment living sweet loving intelligent willing please friendly shows sign aggression playful charming inquisitive foundation stock service 23 times week brushing infrequent regular exercise agreeable friendly medium short light
saint bernard,ranked particularly high akc registrations genial giant nonetheless among world’s famous beloved breeds saint’s written standard abounds phrases like “very powerful” “extraordinarily muscular” “imposing” “massive” male stands minimum 275 inches shoulder females smaller delicately built huge head features wrinkled brow short muzzle dark eyes combining give saints intelligent friendly expression welcome sight stranded alpine travelers saint bernard rank high akc registrations genial giant swiss alps nonetheless among world’s famous beloved breeds saints famously watchful patient careful children playful charming inquisitive working weekly brushing seasonal regular exercise agreeable friendly short tall heavy
saluki,beauty salukis thing wonder thousands years they’re slim leggy strong perfectly balanced like great athlete dancer males stand 23 28 inches shoulder females much shorter come many colors patterns large ovalshaped eyes warm intelligentsalukis highly adaptable able live work climate they’re magnificent animals owning comes many special challenges among world’s oldest breeds slim rugged saluki hunting hound kings thousands years salukis swift agile sprinters love good chase make gentle dignified independent loyal pets gentle dignified independentminded hound occasional bathbrush occasional energetic independent reserved strangers medium tall light
samoyed,samoyeds smiling sledge dogs bred hard work world’s coldest locales siberian town oymyakon instance temperatures minus60 degrees common sammy’s famous white coat thick enough protect brutal conditionspowerful agile tireless impervious cold—sammies dropdead gorgeous highly functional even delightful feature perpetual smile practical function mouth’s upturned corners keep sammies drooling preventing icicles forming facea sammy sentenced solitary confinement yard miserable—and destructive—creature smart social mischievous dogs demand love attention sammies need firm loving hand training pack animals must learn early alpha dog is—and alpha dog must samoyed substantial graceful dog standing anywhere 19 bit 23 inches shoulder powerful tireless thick allwhite coat impervious cold—sammies perfectly beautiful highly functional even delightful feature perpetual smile practical function upturned corners mouth keep sammies drooling preventing icicles forming face adaptable friendly gentle working 23 times week brushing seasonal energetic independent friendly medium medium light
schapendoes,schapendoes everywhere netherlands late 19th early 20th centuries numbers dwindled drastically border collies imported breed club nederlandse schapendoes founded 1947 schapendoes breed resuscitatedthe schapendoes lightlybuilt longcoated mediumsized dog movements effortless springy astounding ability jump makes excel agility dog sports attentive courageous character intelligent watchful lively friendly highspirited towards people familiar develops great affection loyalty club contact detailsclub schapendoes usa clubemail schapendoescomcastnetaddress 236 chandler ave elmhurst il 60126 shaggy sheepdog holland also known dutch sheep dog schapendoes cheerful funny clever brave good family pets also strong desire please friendly watchful lively foundation stock service weekly brushing seasonal regular exercise easy training alertresponsive medium medium light
schipperke,standing higher 13 inches schipperkes small dogs built hard work schips created ratters watchdogs powerful jaws necks forequarters—coupled stealthy catlike hunting style—make ideal ratcatching machines black coat profuse around neck shoulders legs giving breed silhouette accentuates thick substantial body foxy face completes unique look unique breed can’t tell schipperke ordinary dog simply haven’t paying attention schipperke belgiums little captain traditional barge dog low countries curious lively intense mischievous little black dog robust longlived companion never dull moment confident alert curious nonsporting weekly brushing seasonal energetic independent alertresponsive medium short light
scottish deerhound,stand back need little distance fully appreciate majesty ancient beast silhouette see noble coursing hound struck classic greyhound template deerhounds though much larger substantial greyhounds—a goodsize male stand 32 inches shoulder weigh 110 pounds crisp coat seen several colors breed aficionados prefer dark bluegray coat tapered head long neck add extra lift already stately hound crisply coated scottish deerhound “royal dog scotland” majestically large coursing hound struck ancient greyhound template among tallest dog breeds deerhound bred stalk giant wild red deer gentle dignified polite hound occasional bathbrush seasonal regular exercise independent alertresponsive short tall medium
scottish terrier,wellknown scottie silhouette shortlegged substantial terrier distinctive furnishings beard legs lower body wiry topcoat soft dense undercoat coat black wheaten yellow brindlestripe pattern bright piercing eyes erect ears tail convey keen alertness—a hallmark britain’s terrier breedsthe scottie working style described efficient businesslike aloofness toward strangers makes excellent watchdogs hunting instinct remains strong complicate life neighbor’s cat scotties known cantankerous around dogs bold clever scotsman enjoys brisk walks upbeat play solidly compact dog vivid personality scottish terrier independent confident companion high spirits scotties dignified almosthuman character terrier persistence earned breed nickname “the diehard” confident independent spirited terrier 23 times week brushing occasional regular exercise independent alertresponsive medium short light
sealyham terrier,standing less 11 inches shoulder weighing 24 pounds sealys big enough considered mediumsized dogs stand among strongest substantial think small dogsa typical sealy wellmuscled built low ground moves easily long determined strides weatherproof coat predominantly white long broad head furnished lavish facial hair despite rep bruiser among shortlegged terriers sealys cute funny affectionate outgoing trainable bit stubborn alertness bigdog bark make sealys excellent watchdogs blessed adaptable nature sealys amenable city dwelling country life sealyham terrier brave spirited spiky smaller terriers sturdy outgoing companions recognized “fall” mass hair covering forehead sealy fans enjoy dog’s sly sense humor alert outgoing sense humor terrier 23 times week brushing seasonal regular exercise independent alertresponsive medium short light
segugio italiano,calm responsive intelligent segugio italiano tenacious hunter excellent pet friendly intelligent eager please foundation stock service weekly brushing seasonal nan eager please nan medium medium light
shetland sheepdog,shetland sheepdog small active agile herding dog standing 13 16 inches shoulder long coat harsh straight dense undercoat comes black blue merle sable white markings coat along long wedgeshaped head small threequarter erect ears deepchested levelbacked torso give shelties look roughcoated collie miniaturebright eager shelties easy trainers worldclass competitors obedience agility herding trials sensitive affectionate family dogs highly tune mood household like bark tend reserved toward strangers—two qualifications excellent watchdog shetland sheepdog also known sheltie extremely intelligent quick obedient herder scotland’s remote rugged shetland islands shelties bear strong family resemblance bigger cousin collie playful energetic bright herding 23 times week brushing seasonal regular exercise eager please reserved strangers medium short light
shiba inu,brought america japan recently 60 years ago shibas growing popularity west already popular breed homeland white markings combined coloring red red sesame black tan alert expression smooth stride makes almost foxlike they’re sturdy muscular dogs bold confident personality match ancient japanese breed shiba inu little wellmuscled dog employed hunter today spirited goodnatured shiba popular companion dog japan adaptable shiba home town country alert active attentive nonsporting weekly brushing seasonal regular exercise independent reserved strangers medium short light
shih tzu,shih tzu pronounced west “sheedzoo” “sheetsu” chinese say “sherzer” weighing 9 16 pounds standing 8 11 inches surprisingly solid dogs size coat comes many colors worth time put it—few dogs beautiful wellgroomed shih tzubeing cute way life lively charmer shih tzu known especially affectionate children small dog bred spend day inside royal palaces make great pet live apartment lack big backyard dogs live dig holes chase cats shih tzu’s idea fun sitting lap acting adorable try watch tv face big dark eyes looking sweet expression it’s surprise shih tzu owners delighted little “lion dog” thousand years shih tzu go giggles mischief follow affectionate playful outgoing toy daily brushing infrequent regular exercise agreeable friendly medium short light
shikoku,original shikoku kochiken existed mountain ranges kochi prefecture island shikoku highly valued matagi japanese hunters tracker game particularly wild boar mediumsized dog wellbalanced welldeveloped cleancut muscles pricked ears curled sickle tail conformation strong wellboned compact outer coat rather harsh straight undercoat soft dense hair tail long coat red black tan sesame wellmixed color black red white hairs shikoku dog marked endurance keen sense naive feeling energetic highly alert enthusiastic hunter docile towards master energetic alert enthusiastic foundation stock service weekly brushing nan regular exercise nan nan medium medium light
siberian husky,graceful mediumsized siberian husky’s almondshaped eyes either brown blue—and sometimes one each—and convey keen amiable even mischievous expression quick nimblefooted siberians known powerful seemingly effortless gait tipping scales 60 pounds noticeably smaller lighter burly cousin alaskan malamute fact breeders fanciers prefer moniker siberians huskies latter suggests bigger brawnier dog standard breedas born pack dogs siberians enjoy family life get well dogs innate friendliness render indifferent watchdogs breed also energetic can’t resist chasing small animals secure running room must attractive feature breed siberians naturally clean little doggy odor siberian husky thickly coated compact sled dog medium size great endurance developed work packs pulling light loads moderate speeds vast frozen expanses northern breed friendly fastidious dignified loyal mischievous outgoing working weekly brushing seasonal energetic independent friendly medium medium light
silky terrier,small fragile feisty yappy pretty sculpted silkys 10inchtall dynamos animated curiosity high spirits glorious blueandtan coat straight glossy feels behaves much like human hair wedgeshaped head topped profuse hair parted middle erect vshaped ears draw attention keen piercing expression almondshaped eyes silkys refined typical ratting terriers still look behave like true earthdog charming member akc toy group compact glossycoated silky terrier nonetheless true terrier energetic high spirits silky native sydney australia larger close cousin yorkshire terrier friendly quick keenly alert toy 23 times week brushing occasional regular exercise agreeable alertresponsive medium short light
skye terrier,long low level unique earthdog among akc’s distinctivelooking breeds skyes stand 9 10 inches high feature long flatlying coat peekaboo hairdo they’re known big feathery ears stand like bat wings skyes also “drop ears” lie flat large long head beneath profuse coat short muscular legs deep chest seen profile elegant substantial terriers twice long high “the heavenly breed heart lion” long low level skye terrier among akc’s distinctivelooking breeds elegant sturdy aristocrat bred exterminator scotland’s remote isle skye courageous goodtempered canny terrier daily brushing seasonal regular exercise independent reserved strangers medium short light
sloughi,sloughi slooghee classically constructed sighthound ancient lineage originally bred work game hare fox jackal gazelle wild pigs punishing terrain homeland lean nofrills hound standing 24 29 inches shoulder coat colors include shades light sand mahogany redfawn without brindling without black markings invasive white markings sloughi’s big dark eyes often described “melancholy” ancient sloughi nicknamed “arabian greyhound” lean swift coursing hound hunted variety game north african deserts classic sighthound sloughi regally aloof strangers gentle loved ones reserved graceful noble hound weekly brushing infrequent regular exercise independent reserved strangers medium tall light
slovakian wirehaired pointer,slovakian wirehaired pointer dog moderate strength working type nobleness lines basic color coat called “grey” hair harsh hard must fit able work plain woods water especially work shooting searching retrieving wounded game obedient easy train slovakian wirehaired pointer dog moderate strength working type nobleness lines nan foundation stock service occasional bathbrush occasional energetic independent outgoing medium tall light
slovensky cuvac,slovensky cuvac’s breed characteristics conform type mountain dog firm constitution impressive appearance thick white coat strong bone lively temperament vigilant fearless alert centuries accustomed harsh climate slovakian mountains especially tatra mountains vigilance alertness helped give name slovak word cuvat means hear slovensky cuvac boundlessly faithful courageous always ready fight intruder even bears wolves order distinguish wild animals night according ancient tradition bred white courageous alert faithful foundation stock service weekly brushing regularly calm nan nan medium tall light
slovensky kopov,also known slovakian hound slovak hound slovensky kopov mediumsized scent hound relatively light solid build coat medium coarseness closefitting dense always solid black tan markings extremely intelligent breed excellent sense smell direction known dominates world hunting endurance character great courage club contact detailsname vladimir skalaaddress 3734 n lockwood ave chicago il 60641 spirited persistent hunter follow scent hours slovensky kopov hardy hardworking breed also known courage great endurance originally developed hunt wild boar courageous alert determined foundation stock service occasional bathbrush seasonal regular exercise nan nan medium medium light
small munsterlander pointer,small munsterlander intelligent capable learning full even temperament steady character alert friendly towards people makes suitable family life good social behavior keeps close contact master passionate persevering predatory instinct versatile hunting aptitudes strong nerves keenness game make extremely adept hunting companion season small munsterlanders also used agility obedience retrieving hunting tests trials small munsterlanders strong pack instinct thrive outdoor oriented families house often found sleeping near feet master native country germany kleiner münsterländer club contact detailsclub small munsterlander club north americaname mark schnubel presidentemail presidentsmcnaorgphone 8604770355 small munsterlander versatile hunting dog natural retriever medium range solid pointing instinct strong desire water excellent tracking abilities types work shot qualities enhanced intelligence trainability intelligent devoted selfconfident foundation stock service occasional bathbrush seasonal needs lots activity agreeable friendly medium medium light
smooth fox terrier,smooths quite similar close relatives wire fox terriers like crispycoated cousins smooths stand 155 inches shoulder distinguishing physical trait besides coat type head smooth’s head vshaped wire’s dense flat coat predominantly white black tan blackandtan markings cleverly made hunters strong sturdy never coarse clunky shortbacked symmetrical move unwavering grace pendulum clock smooth fox terrier called “gentleman terrier world” lively gregarious terrier devilmaycare attitude originally developed britain’s traditional foxhunts close relatives wire fox terriers friendly independent amusing terrier weekly brushing occasional energetic agreeable friendly medium short light
soft coated wheaten terrier,hallmark merry extroverts sets apart terriers silky gently waving coat runs pale beige shimmering gold recalling color ripening wheat topping 19 inches tall 40 pounds wheatens square sturdy terriers peekaboo hairdo dashing goatee overall picture hardmuscled softcoated working terrier breed described iron fist velvet glove soft coated wheaten terrier exuberant irish farm dog happy friendly deeply devoted stubborn enough remind he’s terrier unique wheaten coat lowshedding needs diligent care avoid matting friendly happy deeply devoted terrier 23 times week brushing infrequent energetic independent alertresponsive medium medium light
spanish mastiff,spanish mastiff dog great size wellbalanced powerful muscular massive head body covered mediumlength coat bark raucous low pitched deep sonorous audible considerable distance spanish mastiff comes range coat colors including black fawn red gray yellow seen brindle white markingsused guarding defense breed closely related seasonal moving livestock especially merino livestock accompanied time “mesta” middle ages association sheep ranchers journeyed seasonally distant locations find grazing pastures spanish mastiff charge defending wolves predators throughout travels either sedentary wandering performs way farms people properties general club contact detailsname anne goetzemail centurianmastinirocketmailcomphone 828 8035087 spanish mastiff intelligent dog without beauty whose expression manifests qualities rustic affectionate kind noble determined facing dangerous animals front strangers especially opportunity defend protect farms cattle behaviour one see dog sure determining strength aware enormous power affectionate intelligent kind foundation stock service nan seasonal calm nan nan medium tall heavy
spanish water dog,unique look inexhaustible workers begins coat it’s naturally curly wooly head toe grown often form tight tapered cords full coat facial hair covers expressive brown eyes colors black brown beige white particolor black brown beige white “rustic” word often used describe overall look sturdy dog medium size male stand little 20 inches shoulder inexhaustible spanish water dog dualpurpose breed whose hallmark coat wooly curls used herder waterfowl retriever homeland rustic charmer lively family companion vigilant watchdog playful also workoriented active upbeat herding specialtyprofessional infrequent energetic eager please reserved strangers medium medium light
spinone italiano,spinone italiano plural spinoni italiani squarely solidly built allaround hunter spinoni muscular powerful built endurance speed dense coat natural unclippered look comes various colors patterns face conveys breed’s abundant old world charm soft sweetly expressive eyes set shaggy eyebrows tufted beard many heart italy—and they’re making new conquests america every day spinone italiano denselycoated hunting dog sociable docile patient sometimes stubborn always endearing ancient italian lineage spinone among field dogs continental europe famed versatility sociable patient docile sporting weekly brushing nan energetic agreeable alertresponsive medium tall nan
stabyhoun,stabyhoun’s independent nature deliberately bred characteristic farmers wanted dog could hunt independently moles rabbits propensity still see today therefore cannot upset looks prey independently example digs garden proper guidance staby gentle dog great friend lifestabys also inquisitive always pay attention stabyhoun inquisitive nature quickly get trouble think staby sit quietly something happens often disappointed although stabys make lot noise something wrong alert owner generally expect owner investigate accept things normal stabys need verify “surprises” store calming againthis breed functional powerfullybuilt pointing dog originated netherlands majority stabyhouns black white brown white coloring seen netherlands orange white stabyhoun nearly extinct staby’s build greater length height similarly head shows length width feathering chest collar forelegs trousers tail gives staby impression longhaired coat excessively long stabyhoun considered “allaround” dog abilities hunting retrieving pointing also ideal family dogs size affectionate character club contact detailsclub american stabyhoun associationname susie niesemail akcrepstabyhounsorgaddress 0n282 cumnor ave glen ellyn il 60137phone 630 6323443 although occasionally somewhat willful nature stabyhouns obedient gentle patient dogs deeply fond family wanting please owners softmouthed retriever pointer particularly useful hunting ducks upland birds fine retriever water work one fortes sharpeyed owns good sense smell aptitude works fast efficiently intelligent responsive loving foundation stock service occasional bathbrush seasonal energetic easy training alertresponsive medium medium light
staffordshire bull terrier,14 16 inches staffordshire bull terriers stand particularly tall weighing anywhere 24 38 pounds pour gallon dog quartsize container rocksolid muscular terriers head short broad pronounced cheek muscles tightfitting coat comes several colorsstaffordshire bull terriers still resemble pugnacious brawlers ruled england’s fighting pits today’s responsible breeders producing sweetnatured familyoriented dogs reputation patient kids trueblue loyal companions old fighting instinct still lurks within—making vital pups socialized dogs learn good canine manners brawling past muscular agile staffordshire bull terrier retains traits courage tenacity happily good breeding transformed former gladiator mild playful companion special feel kids clever brave tenacious terrier weekly brushing occasional energetic may stubborn friendly medium short light
standard schnauzer,mediumsized dog weighing 35 45 pounds standard schnauzer truly standard schnauzer larger miniatures smaller giants schnauzers three sizes share several breed hallmarks wiry tightfitting coat pure black “pepper salt” robust squarebuilt frame elongated head furnished arched eyebrows bristly whiskers framing eyes gleaming keen intelligencestandards sociable companions alert watchdogs enthusiastic backyard squirrel chasers good kids protective loved ones approached firm gentle hand standards train beautifully owners must provide outlets dog’s upbeat athleticism highly developed senses bold bewhiskered standard schnauzer highspirited farm dog germany sometimeswillful ever reliable mediumsized members schnauzer family breeds standards sporty look canine classic fearless smart spirited working 23 times week brushing infrequent regular exercise independent friendly medium medium light
sussex spaniel,sussex long lowbuilt bird dogs great strength endurance topping 15 inches tall shoulder sussex nonetheless described “massive” deep chest heavy bone trademark abundant feathery coat rich goldenliver classic spaniel head wavycoated ears big hazel eyes projects somber frowning expression delightfully odds sussex’s innate cheerfulness placid affectionate eventempered trueblue loyal — words used describe sussex spaniel slowbutsteady hunter congenial housedog frowning expression delightfully odds typically cheerful nature friendly merry eventempered sporting 23 times week brushing seasonal regular exercise independent reserved strangers medium short light
swedish lapphund,swedish lapphunds make wonderful family companions thrive included activities human pack lively intelligent mediumsized spitz versatile playful energetic pooch although generally considered medium high energy breed capable relaxing chilling appropriate aka lappie “onoff” switch alert friendly also independentminded stubborn breed retains guarding herding traits alertness attentiongetting barking swedish lappie eager please work suited rally agility herding scent work companion events club contact detailsname patricia arfstenemail parfstenyahoocom lively alert kind affectionate lapphund receptive attentive willing work abilities good herding dog made useful reindeer trade versatile suitable obedience training agility herding tracking etc easy train full endurance toughness playful intelligent lively foundation stock service weekly brushing seasonal regular exercise may stubborn alertresponsive medium medium light
swedish vallhund,thick sable coat sturdy construction overall nofrills look vallhunds timeless breed comfortable suburban backyard prow viking longships 1200 years ago lively herders built long low ground—in quite exaggerated fashion distant cousins corgis idea build makes easier nip heels cattle avoid kicks head balance power smooth movement breed hallmarks long low swedish vallhund viking dog ancient legend smart sociable herder dense coat boundless energy rugged cattle dogs known zest life unique vocalizations cheerful demeanor friendly energetic watchful herding occasional bathbrush seasonal needs lots activity eager please friendly medium short light
taiwan dog,taiwan dog’s intuitive nature connection master likely honed generations collaboratively hunting small game mountains also means extremely responsive commands easily trained breed reserved towards strangers fearless protecting family therefore socialization taiwan dog necessary mediate strong instinct protect master family integral part family household outside dog excel daily interaction socialization club contact detailsclub taiwan dog club americaaddress po box 640 chino hills ca 91709email infotaiwandogorg taiwan dog extremely faithful master keen sense alert movement bold fearless mediumsized dog triangular head almond shaped eyes thin pricked ears sickle tail loyal versatile intelligent foundation stock service weekly brushing seasonal needs lots activity easy training reserved strangers medium medium light
teddy roosevelt terrier,teddy roosevelt terriers delightful companions home learn quickly ready activity owners engage still keep family farm home free rats mice job bred also excel companion sports agility obedience get along dogs without belligerence retained prey drive without obsessive compulsion end day love nothing better share love companionship owners teddies adapt pretty much lifestyle whether show conformation rings work agility trials want great companion home farm small medium size make suitable apartment living well loyal active playful breed best member human family club contact detailsclub american teddy roosevelt terrier clubname kaye stevenson presidentemail americantrtclubgmailcomaddress 205 donna dr montgomery al 36108 teddy roosevelt terrier lively friendly affectionate dog family somewhat oneperson dog strong protective nature welldeveloped pack instincts teddy roosevelt terrier gets along well children raised cats dogs bold tenacious hunter seemingly unlimited energy whose size endurance makes excellent hunter squirrels vermin playful versatile intelligent miscellaneous class weekly brushing seasonal energetic eager please friendly medium short light
thai ridgeback,thai ridgeback muscular mediumsized dog streamlined body makes agile natural athlete ridge back formed hair growing opposite direction rest coat breed 8 different ridge patterns puppies born without ridge coat colors include solid blue black red fawn black mask occasionally redcoated dogs thai ridgebacks also spotted tongues even come solid blackblue tongues today ridgebacks companion dogs still maintain many instincts jobs bred hunting guarding independent selfsufficient hunt food gave strong survival instincts high prey drive high level intelligenceif well bred properly socialized thai ridgeback loyal loving pet guarding breed naturally protective home reserved suspicious strangers thai ridgebacks need patient consistent experienced owner good understanding dog behavior firsttime dog owners club contact detailsclub association thai ridgeback owners fanciersname cathleen combs presidentemail bellehoundsk9saolcomaddress po box 1 dry ridge ky 41035phone 8594458739facebook link thai ridgeback tough active excellent jumping ability highly intelligent strong survival instinct loyal family dog loyal independent agile foundation stock service occasional bathbrush seasonal energetic independent reserved strangers medium medium light
tibetan mastiff,coming face face ancient behemoth intruder good likely move easier pickings tms stand 26 inches shoulder weigh well 100 pounds it’s impossible discuss breed without leaning words like “powerful” “muscular” “massive” “substantial” yet tms quite lightfooted meet perceived threat surprising agility broad head highset vshaped ears expressive brown eyes projects noble sagacious expression watchful aloof imposing intimidating ancient tibetan mastiff guardian dog supreme denselycoated giants mellow calm around house sweetly devoted family aloof territorial strangers independent reserved intelligent working 23 times week brushing seasonal regular exercise independent alertresponsive medium tall medium
tibetan spaniel,blunt muzzle big expressive eyes “lion’s mane” around neck plumed tail elegantly curving back they’re distinctly tibetan spaniels western sense like cockers cavaliers instead tibbies recall ancient traditions produced pekes pugs lhasas unmistakably asian breeds tibbies stand 10 inches shoulder move quickly purpose they’re seen coats many colors combinations frisky curious tibetan spaniel bred ages ago sentinel work walls tibetan monasteries known flat silky coat “lion’s mane” around neck tibbie forms tight worshipful bond humans playful bright selfconfident nonsporting weekly brushing seasonal calm agreeable alertresponsive medium short light
tibetan terrier,bearing passing resemblance smaller cousin lhasa apso tibetan terriers reside lower end mediumsized breeds standing 15 inches shoulder weighing 20 24 pounds breed hallmark beautiful profuse double coat—wooly underneath long fine topcoat tts unique among dogs large flat “snowshoe” feet adapted centuries help negotiate snowy mountainous terrain homeland tibetan terrier “holy dog tibet” ancient watchdog companion long associated buddhist monasteries profusely coated smalltomediumsized dog “snowshoe” feet tt affectionate sensitive clever affectionate loyal sensitive nonsporting 23 times week brushing seasonal energetic independent reserved strangers medium short light
tornjak,tornjak also known bosnian herzegovinian – croatian shepherd dog large powerful dog wellproportioned agile shape body almost square standing moving strong harmonious wellbalanced coat long thick according studies tornjak likely descendant tibetan mastiff area modernday iran environment created healthy strong watchdog modest needs food shelter tornjaks friendly people aggressive towards animals dogs threaten owner home sheep pen flock like work take commands readily owners tornjak steady disposition friendly courageous obedient intelligent full dignity selfconfidence fierce guarding property entrusted cannot bribed suspicious strangers devoted master calm presence affectionate towards people living immediate vicinity friendly courageous intelligent foundation stock service nan nan nan easy training alertresponsive medium tall light
tosa,tosa quietly affectionate family may somewhat aloof strangers breed also nature watchful dogs may react aggressively dogs considers intruders overtly aggressive behavior towards humans uncharacteristic breed short dense coat fawn red apricot black brindle also white markings chest feet addition tosas mature slowly individual dogs may reach prime late four years age breed largest japanese dog breeds also known tosa ken tosa dog tosa token tosa inu japanese fighting dog japanese mastiff tosas temperament marked patience composure boldness courage normally tranquil quiet obedient dog calm vigilant demeanor stately manner robust build formerly bred fighting used watchdogs fearless patient vigilant foundation stock service occasional bathbrush occasional calm agreeable reserved strangers medium medium heavy
toy fox terrier,surefire recipe fun take lovability lapdog combine terrier tenacity pour mixture beautifully balanced container wrap tightfitting satin coat top large erect ears dark eyes sparkle eager intelligence toy fox terrier lithe sturdy little comedian standing foot tall packed enough charisma whole kennel ordinary dogs breed’s admirers like say “tfts truly toy terrier” diminutive satincoated terrier amusing toydog personality toy fox terrier breed fanciers say “truly toy terrier” began barnyard ratters today beguiling companions big personality friendly alert intelligent toy weekly brushing occasional energetic eager please friendly medium short light
transylvanian hound,transylvanian hound ancient hungarian hunter created special climate terrain hunting conditions whole appearance reflects nobility harmony due mediumsize body athletic lean muscular exaggerated movement balanced elegant basic nature calm balanced yet firm temperamental adaptable playful nature makes ideal family favorite balance friendliness kept apartment house courage loyalty make good guardthis scent hound basic dog also used retrieval hunting group alone hear farranging high ringing tone indicating direction game working far farm developed problemsolving abilities centuries become highly intelligent transylvanian hound goodnatured courageous enduring foundation quiet even also determined lively environmental conditions carpathians made breed tough brave dog courageous goodnatured determined foundation stock service weekly brushing nan needs lots activity may stubborn nan medium medium light
treeing tennessee brindle,treeing tennessee brindle originated united states notably areas around appalachian ozark mountains bred cur dogs focus great scenting power open trailer good voice retain uncanny ability tree kinds game brindlecolored smaller size shorter ear different conformation plott treeing tennessee brindles intelligent courageous companionable breed alert agile fast make wonderful hunting dogs treeing tennessee brindle exceptionally sturdy healthy breed intelligent brave courageous loyal companions strong inbred instinct hunting breed bays hunt means cry hunter friendly alert intelligent foundation stock service weekly brushing occasional regular exercise nan nan medium medium light
treeing walker coonhound,things quicken coon hunter’s pulse like sight swift tricolored hound full stride—the long muscular legs powerful propulsive hindquarters streamlined frame working cover maximum ground minimum effort later basking warmth campfire honest night’s work sweetfaced hound look stir soul gentle pleading expression mercy pretty picture wonder treeing walkers called people’s choice smart brave sensible hunter treeing walker coonhound genuine american favorite nicknamed people’s choice don’t let name fool you—walkers runners capable covering lot ground hurry smart brave courteous hound occasional bathbrush seasonal regular exercise independent friendly medium medium light
vizsla,vizsla easily recognized sleek goldenrust coat stand 21 24 inches shoulder picture lean lightfooted hunter’s companion long silky ears frame facial expression sensitive loving around house intense work hunter expected work closely humans vizslas form tight bond owners hate left aloneathletes many talents vizslas excel various sports activities eager graceful trotters great stamina making ideal jogging biking companions expert breed tells us “if don’t time encourage breed’s full use brain you’re wasting good dog” vizsla versatile redcoated gundog built long days field centuries rugged elegant athletes pride hungarian sportsmen popularity america increases passing year affectionate gentle energetic sporting weekly brushing seasonal energetic eager please friendly medium medium light
weimaraner,instantly recognized distinctive silverygray coat male weimaraners stand 25 27 inches shoulder females 23 25 inches properly bred weimaraner solid colored maybe small white spot chest face amber bluegray eyes framed long velvety ears amiable intelligent overall breed presents picture streamlined grace balance wellconditioned weimaraner point breathtaking sightweimaraners excellent kids yearn fullfledged family members easy grooming trainability loving nature candoattitude make excellent pets long owners committed keeping physically active mentally engaged weimaraner germany’s sleek swift “gray ghost” beloved hunters pet owners alike friendliness obedience beauty enjoy exercise plenty along lots quality time humans friendly fearless obedient sporting weekly brushing seasonal needs lots activity eager please friendly medium tall light
welsh springer spaniel,standing 17 19 inches shoulder welshies described fans “handy size” bigger stronger cocker spaniels smaller english springerswelshies two hallmarks distinguish spaniels uniquely tapered head eyecatching coat bold red white patterns beautiful coat isn’t ornamental—it’s waterproof weatherproof thornproof suit enables welshies show renowned versatility climates terrains welsh springer spaniel vigorous mediumsized bird dog happy disposition known versatility field companionability home dashing good looks anywhere welshie among britains oldest sporting breeds happy reserved upbeat sporting weekly brushing nan energetic easy training friendly medium medium light
welsh terrier,sturdy compact rugged tightfitting blackandtan coat rectangular head featuring folded ears jaunty beard welsh constructed along classic lines britain’s longlegged terriers stand 15 inches shoulder little larger lakeland terrier much smaller mighty airedaleall three breeds however share family resemblance ancient breed called old english black tan terrier thought granddaddy british terriers welsh terrier alert spirited selfrespecting terrier bit calmer most—“game quarrelsome” breed fanciers say welshman bred battle badgers otters dangerous opponents friendly spirited intelligent terrier 23 times week brushing occasional energetic agreeable outgoing medium short light
west highland white terrier,standing 10 11 inches shoulder dark piercing eyes compact body carrotshaped tail wagging delight westie’s looks irresistible beneath plushtoy exterior though true working terrier gameness courage bred hunt rats underground rodents westies surprisingly strong tough allwhite double coat hard touch soft fluffyalert active westies exhibit traits plucky selfreliant ratting terrier require pampering chase anything moves independence make training challenge thanks faithfulness keen intelligence westies train nicely time patience smart confident always entertaining play adorable west highland white terrier westie short charmed owners 300 years diminutive sturdy earthdog among popular small terriers loyal happy entertaining terrier daily brushing seasonal regular exercise agreeable friendly medium short light
wetterhoun,wetterhoun although originally bred hunting otters make excellent companions watchdogs excel variety sports due perseverant nature wetterhoun almost never seen apart owner enjoy company much owner enjoys loyal goodnatured intelligent foundation stock service occasional bathbrush occasional regular exercise may stubborn reserved strangers medium short light
whippet,somewhere 18 22 inches shoulder whippet looks like greyhound smaller whippet exhibits classic “inverted s” lines sighthound deep chest trim waist lean head supported long arched neck slim sturdy legs combine picture agile fleetfooted athletebetween bursts intense pursuit whippets love stretch relax long hours enjoying role loving loved companion whippets like fenced yard run nicely cozy apartments too—as long exercised properly another plus city dwellers whippets rarely bark despite breed’s elegant looks whippet robust lowmaintenance dog sleek sweetfaced whippet “poor man’s racehorse” lightning quick amiable dignified gentle soul give something chase he’s business name whippet synonymous streamlined grace affectionate playful calm hound occasional bathbrush occasional regular exercise independent reserved strangers medium medium light
